ANO,CODIGO,DEPARTAMENTO,META,DOSIS APLICADAS,COBERTURA
2009,91.0,AMAZONAS,2107,1559.0,74.0
2009,5.0,ANTIOQUIA,103161,85444.0,82.8
2009,81.0,ARAUCA,6627,4906.0,74.0
2009,8.0,ATLANTICO,22323,22235.0,99.6
2009,8001.0,BARRANQUILLA,20345,22737.0,111.8
2009,11.0,BOGOTÁ D.C.,119208,115265.0,96.7
2009,13.0,BOLÍVAR,24551,23224.0,94.6
2009,15.0,BOYACÁ,23293,21432.0,92.0
2009,17.0,CALDAS,16709,12889.0,77.1
2009,18.0,CAQUETÁ,10775,9345.0,86.7
2009,13001.0,CARTAGENA,17143,20346.0,118.7
2009,85.0,CASANARE,6989,6653.0,95.2
2009,19.0,CAUCA,25992,24247.0,93.3
2009,20.0,CESAR,22229,24028.0,108.1
2009,27.0,CHOCÓ,13576,10236.0,75.4
2009,25.0,CUNDINAMARCA,46254,35139.0,76.0
2009,25.0,CÓRDOBA,35799,35705.0,99.7
2009,94.0,GUAINÍA,1003,769.0,76.7
2009,95.0,GUAVIARE,2798,2182.0,78.0
2009,41.0,HUILA,22569,21479.0,95.2
2009,44.0,LA GUAJIRA,23492,22271.0,94.8
2009,47.0,MAGDALENA,18510,18150.0,98.1
2009,50.0,META,17919,17083.0,95.3
2009,52.0,NARIÑO,32725,23308.0,71.2
2009,54.0,NORTE DE SANTANDER,25626,25781.0,100.6
2009,86.0,PUTUMAYO,8000,6779.0,84.7
2009,63.0,QUINDIÓ,9261,7413.0,80.0
2009,66.0,RISARALDA,15450,12768.0,82.6
2009,88.0,SAN ANDRÉS,1283,923.0,71.9
2009,47001.0,SANTA MARTA,9185,8407.0,91.5
2009,68.0,SANTANDER,34278,33234.0,97.0
2009,70.0,SUCRE,16929,17062.0,100.8
2009,73.0,TOLIMA,25926,23738.0,91.6
2009,76.0,VALLE,72956,72134.0,98.9
2009,97.0,VAUPÉS,1248,940.0,75.3
2009,99.0,VICHADA,1898,844.0,44.5
2010,91.0,AMAZONAS,2119,1666.0,78.6
2010,5.0,ANTIOQUIA,103154,79374.0,76.9
2010,81.0,ARAUCA,6611,5267.0,79.7
2010,8.0,ATLANTICO,22306,16945.0,76.0
2010,8001.0,BARRANQUILLA,20244,19752.0,97.6
2010,11.0,BOGOTÁ D.C.,119681,112629.0,94.1
2010,13.0,BOLÍVAR,24460,21033.0,86.0
2010,15.0,BOYACÁ,22832,20860.0,91.4
2010,17.0,CALDAS,16571,11620.0,70.1
2010,18.0,CAQUETÁ,10743,9581.0,89.2
2010,13001.0,CARTAGENA,17047,19264.0,113.0
2010,85.0,CASANARE,7014,6676.0,95.2
2010,19.0,CAUCA,25948,23686.0,91.3
2010,20.0,CESAR,22159,23497.0,106.0
2010,27.0,CHOCÓ,13552,8794.0,64.9
2010,25.0,CUNDINAMARCA,46570,35807.0,76.9
2010,25.0,CÓRDOBA,35936,34982.0,97.3
2010,94.0,GUAINÍA,1052,546.0,51.9
2010,95.0,GUAVIARE,2808,1837.0,65.4
2010,41.0,HUILA,22565,20328.0,90.1
2010,44.0,LA GUAJIRA,24048,20969.0,87.2
2010,47.0,MAGDALENA,18477,17622.0,95.4
2010,50.0,META,18081,17326.0,95.8
2010,52.0,NARIÑO,32602,23676.0,72.6
2010,54.0,NORTE DE SANTANDER,25449,23156.0,91.0
2010,86.0,PUTUMAYO,7952,7056.0,88.7
2010,63.0,QUINDIÓ,9242,7142.0,77.3
2010,66.0,RISARALDA,15383,11995.0,78.0
2010,88.0,SAN ANDRÉS,1278,958.0,75.0
2010,47001.0,SANTA MARTA,9064,7774.0,85.8
2010,68.0,SANTANDER,33966,31651.0,93.2
2010,70.0,SUCRE,16873,16351.0,96.9
2010,73.0,TOLIMA,25717,22892.0,89.0
2010,76.0,VALLE,72781,69350.0,95.3
2010,97.0,VAUPÉS,1230,902.0,73.3
2010,99.0,VICHADA,1901,1363.0,71.7
